id,variety,word
w0313,be,wetsdokter
w0314,be,superette
w0315,nl,terp
w0316,be,hoofdbrok
w0317,nl,omkukelen
w0318,be,negatie
w0319,be,mouwvegen
w0320,nl,soos
w0321,be,denkpiste
w0322,be,verzweren
w0323,nl,jottem
w0324,be,daarrond
w0325,be,boertig
w0326,nl,rellerig
w0327,nl,iel
w0328,nl,spuitpoep
w0329,nl,marmoleum
w0330,nl,tuinderij
w0331,be,kotmadam
w0332,be,bib
w0333,nl,gemieter
w0334,be,lumbago
w0335,be,centiem
w0336,be,vanop
w0337,be,zitpenning
w0338,be,laattijdig
w0339,be,steamen
w0340,nl,verbruien
w0341,be,kastaar
w0342,be,frietchinees
w0343,be,gedegouteerd
w0344,be,snokken
w0345,nl,hippisch
w0346,be,bombardon
w0347,nl,digibeet
w0348,be,performant
w0349,be,wansmakelijk
w0350,be,bisjaar
w0351,be,inwijken
w0352,nl,dumpzaak
w0353,nl,gefröbel
w0354,nl,sealen
w0355,be,witloof
w0356,nl,malieveld
w0357,be,onthaalouder
w0358,nl,trimloop
w0359,nl,galbult
w0360,nl,hoereren
w0361,nl,snijkoek
w0362,nl,rondbanjeren
w0363,be,nachtraaf
w0364,be,concurrentieel
w0365,nl,knoeperd
w0366,be,constatatie
w0367,nl,piepelen
w0368,be,macadam
w0369,nl,propedeuse
w0370,be,gegeerd
w0371,nl,bètavak
w0372,be,acajou
w0373,nl,tjaptjoi
w0374,be,fusioneren
w0375,be,frisco
w0376,be,pladijs
w0377,be,opblinken
w0378,nl,dakleer
w0379,nl,behapbaar
w0380,be,zichtrekening
w0381,be,tornooi
w0382,nl,afkatten
w0383,be,desgevallend
w0384,nl,matsen
w0385,be,fluo
w0386,be,kinesitherapie
w0387,be,wasspeld
w0388,nl,geneuzel
w0389,nl,rompertje
w0390,nl,spitzen
w0391,nl,klessebessen
w0392,nl,sudderlap
w0393,nl,saamhorigheid
w0394,be,brousse
w0395,be,reisduif
w0396,be,beurtrol
w0397,nl,kift
w0398,nl,beppen
w0399,be,stresserend
w0400,nl,yuppen
w0401,be,hoofdvogel
w0402,be,leefloon
w0403,nl,hobbezak
w0404,be,broebelen
w0405,be,bissen
w0406,be,expresweg
w0407,be,klierkoorts
w0408,nl,poeperd
w0409,be,verluchten
w0410,nl,jofel
w0411,be,klankman
w0412,be,prijskamp
w0413,be,milderen
w0414,nl,makken
w0415,nl,kassiewijle
w0416,nl,bangig
w0417,be,cuisson
w0418,be,leute
w0419,nl,versloffen
w0420,nl,eenkennig
w0421,nl,oplazer
w0422,nl,sukade
w0423,nl,pabo
w0424,nl,shawl
w0425,nl,boerenbont
w0426,nl,graftak
w0427,nl,buks
w0428,nl,kledder
w0429,nl,toko
w0430,nl,plofkip
w0431,be,inwijking
w0432,be,chapelure
w0433,nl,afstruinen
w0434,be,gelukzak
w0435,be,inoefenen
w0436,be,heenmatch
w0437,nl,royering
w0438,nl,knaak
w0439,be,champetter
w0440,be,profijtig
w0441,nl,gezwalk
w0442,nl,borgpen
w0443,be,tornooien
w0444,be,zonaal
w0445,nl,giebel
w0446,be,duts
w0447,be,recycleren
w0448,be,grootstad
w0449,nl,kno-arts
w0450,be,schuifaf
w0451,nl,skelter
w0452,be,zeemvel
w0453,nl,meewegen
w0454,nl,trekzalf
w0455,be,ondereen
w0456,be,waterkans
w0457,nl,introducé
w0458,be,frietketel
w0459,nl,hofstad
w0460,be,matuur
w0461,be,vismijn
w0462,be,stofvod
w0463,be,matrak
w0464,be,assisenzaak
w0465,be,sneeuwklas
w0466,be,urne
w0467,be,verpinken
w0468,nl,chemokar
w0469,nl,somberen
w0470,be,producen
w0471,nl,prikkie
w0472,be,chauffage
w0473,be,funerarium
w0474,nl,skelteren
w0475,nl,goochemerd
w0476,nl,pappa
w0477,be,bibbergeld
w0478,nl,spoorboom
w0479,nl,geroyeerd
w0480,be,versassen
w0481,be,mediatiseren
w0482,nl,conrector
w0483,nl,shagje
w0484,be,affronteren
w0485,be,trafiek
w0486,be,potdoof
w0487,nl,sprits
w0488,nl,indo
w0489,be,aprilvis
w0490,be,janet
w0491,be,grootbank
w0492,be,kadee
w0493,be,mattentaart
w0494,nl,apezuur
w0495,nl,giebelen
w0496,be,garagist
w0497,be,remgeld
w0498,be,brossen
w0499,be,oplijsten
w0500,be,notelaren
w0501,be,zopas
w0502,nl,orthopeed
w0503,nl,pfeiffer
w0504,be,slazwierder
w0505,be,snuisteren
w0506,be,kerselaar
w0507,nl,coulance
w0508,be,hondenstiel
w0509,be,keikop
w0510,be,ambeteren
w0511,nl,meuk
w0512,be,bijlange
w0513,nl,rul
w0514,be,licentiaat
w0515,be,kazakdraaier
w0516,be,dewelke
w0517,nl,donorcodicil
w0518,nl,sliptong
w0519,be,pluviometer
w0520,be,polieren
w0521,be,rijhuis
w0522,be,maquillage
w0523,be,koppigaard
w0524,be,turnpantoffel
w0525,be,windel
w0526,nl,salmiak
w0527,be,klissen
w0528,be,verdoken
w0529,nl,grutter
w0530,nl,poppodia
w0531,nl,jatwerk
w0532,be,ambulancier
w0533,be,kaka
w0534,nl,kontzak
w0535,nl,lesuitval
w0536,nl,hoosbui
w0537,nl,lawaaiig
w0538,be,homilie
w0539,nl,bul
w0540,be,brosser
w0541,nl,zitvlees
w0542,be,cataract
w0543,be,baancafé
w0544,be,valavond
w0545,nl,moerstaal
w0546,nl,viezig
w0547,be,velo
w0548,nl,scholiere
w0549,be,stoefen
w0550,be,eenzaat
w0551,nl,wissewasje
w0552,be,nefast
w0553,nl,blauwbekken
w0554,nl,hospiteren
w0555,be,mandataris
w0556,nl,gierkar
w0557,nl,hotemetoot
w0558,be,intrest
w0559,be,wolfijzers
w0560,nl,overpad
w0561,be,vidé
w0562,nl,botte
w0563,nl,mieteren
w0564,nl,onderop
w0565,be,looppiste
w0566,be,plafonnering
w0567,nl,brekebeen
w0568,be,koekebrood
w0569,nl,aanpezen
w0570,nl,stavast
w0571,nl,dreinen
w0572,be,moeial
w0573,be,misnoegd
w0574,be,omzendbrief
w0575,nl,fikkie
w0576,nl,rouwdouwer
w0577,be,wetstraat
w0578,nl,vuilstort
w0579,be,zwalpen
w0580,be,unitair
w0581,be,moeien
w0582,be,uitschijnen
w0583,nl,scootmobiel
w0584,nl,bielzen
w0585,be,renommée
w0586,nl,wipkip
w0587,nl,werkeloos
w0588,nl,vlaflip
w0589,nl,afzwemmen
w0590,nl,sikkeneur
w0591,be,windpokken
w0592,be,paritair
w0593,nl,klamboe
w0594,nl,geblèr
w0595,nl,bosui
w0596,be,contesteren
w0597,nl,ruften
w0598,be,immobiliën
w0599,nl,hachee
w0600,nl,hork
w0601,nl,goeiig
w0602,be,recto
w0603,nl,sinas
w0604,nl,lubberen
w0605,nl,watervlug
w0606,be,springuur
w0607,be,vredegerecht
w0608,nl,vut
w0609,nl,leverantie
w0610,nl,diaconaat
w0611,nl,uiterwaard
w0612,nl,knijpkat
w0613,be,slaapwel
w0614,nl,brandbrief
w0615,nl,alfahulp
w0616,be,konkelfoezen
w0617,nl,taaitaai
w0618,be,pickles
w0619,nl,husselen
w0620,be,schranken
w0621,be,induffelen
w0622,nl,alaaf
w0623,be,triumviraat
w0624,be,speelvogel
w0625,nl,dommig
w0626,be,viseren
w0627,be,zeemzoet
w0628,be,profliga
w0629,nl,poepdoos
w0630,be,afbollen
w0631,nl,twintigje
w0632,nl,paddo
w0633,nl,waspeen
w0634,nl,werkeloze
w0635,be,camionette
w0636,be,bomma
w0637,be,capteren
w0638,nl,fricandeau
w0639,be,zuiders
w0640,be,frangipane
w0641,be,faling
w0642,nl,lobbes
w0643,nl,gisternacht
w0644,be,bareel
w0645,nl,saampjes
w0646,be,unief
w0647,nl,katenspek
w0648,nl,poli
w0649,nl,redenatie
w0650,be,onpaar
w0651,nl,duster
w0652,be,tafelschuimer
w0653,be,toemaatje
w0654,nl,jodenkoek
w0655,be,collocatie
w0656,be,cutter
w0657,nl,kiften
w0658,be,magazijnier
w0659,be,mulat
w0660,be,regentaat
w0661,nl,hamlap
w0662,be,boulet
w0663,be,volzet
w0664,be,gebuur
w0665,be,mazout
w0666,be,beterhand
w0667,nl,kliko
w0668,be,tegenkanting
w0669,nl,jottum
w0670,nl,wieberen
w0671,be,dikkenek
w0672,nl,idolaat
w0673,be,pronostiek
w0674,be,pandoering
w0675,be,loebas
w0676,nl,ajuus
w0677,nl,tbs
w0678,be,foefelen
w0679,be,kribbelen
w0680,be,baxter
w0681,be,bakkerin
w0682,nl,krentenmik
w0683,be,omwringen
w0684,be,cervela
w0685,be,peulschil
w0686,be,occasie
w0687,be,nijdigaard
w0688,nl,shag
w0689,be,etalagist
w0690,be,doodbraaf
w0691,be,afdreigen
w0692,be,lookworst
w0693,nl,sjans
w0694,be,pivoteren
w0695,be,homologatie
w0696,be,gebuisd
w0697,be,weerwraak
w0698,be,pilipili
w0699,be,sluikstorter
w0700,nl,vermissen
w0701,be,stock
w0702,nl,corduroy
w0703,nl,jandoedel
w0704,nl,dikkig
w0705,nl,hapsnap
w0706,nl,noren
w0707,nl,ketelbink
w0708,be,petanquen
w0709,be,minarine
w0710,be,zitdag
w0711,nl,juut
w0712,nl,metworst
w0713,be,homejacking
w0714,be,bavet
w0715,be,begapen
w0716,be,ambras
w0717,nl,wipwap
w0718,be,facteur
w0719,be,daver
w0720,be,opkleden
w0721,nl,corpsbal
w0722,nl,zwalken
w0723,nl,vwo'er
w0724,nl,diergaarde
w0725,be,dodentol
w0726,be,knolselder
w0727,nl,uitwonen
w0728,be,stakingspiket
w0729,nl,snotlap
w0730,nl,porum
w0731,be,bultenaar
w0732,nl,bromtol
w0733,be,raid
w0734,nl,toerbeurt
w0735,be,colère
w0736,nl,vernachelen
w0737,nl,gemêleerd
w0738,nl,winkelpui
w0739,be,manken
w0740,be,herdoen
w0741,nl,mbo
w0742,nl,blaag
w0743,be,degustatie
w0744,be,gocart
w0745,be,classeur
w0746,nl,boktor
w0747,be,vuilblik
w0748,nl,fineliner
w0749,nl,voorpui
w0750,nl,gymnasiast
w0751,be,afspanning
w0752,be,humaniora
w0753,be,aardeweg
w0754,be,miniemen
w0755,be,salopette
w0756,nl,frites
w0757,nl,kien
w0758,be,alternator
w0759,nl,thee-ei
w0760,nl,haptonoom
w0761,be,bvba
w0762,nl,kroelen
w0763,be,witteke
w0764,be,genitief
w0765,be,sabayon
w0766,be,bezetsel
w0767,nl,overvoerd
w0768,be,metser
w0769,be,moto
w0770,be,tweewoonst
w0771,nl,taveerne
w0772,be,aanbelangen
w0773,nl,beursheid
w0774,nl,rondte
w0775,nl,sjansen
w0776,be,vroedkunde
w0777,be,solden
w0778,be,fermette
w0779,nl,zwalker
w0780,be,koffiezet
w0781,be,bolwassing
w0782,be,snul
w0783,be,foor
w0784,be,bepotelen
w0785,nl,goh
w0786,nl,dotter
w0787,be,sasdeur
w0788,nl,kippig
w0789,nl,giromaat
w0790,be,refter
w0791,be,autocar
w0792,nl,koffieleut
w0793,be,zwanzen
w0794,nl,kuub
w0795,nl,goochem
w0796,be,plafonneren
w0797,be,solsleutel
w0798,nl,chipknip
w0799,be,inox
w0800,nl,liegbeest
w0801,be,flan
w0802,be,nonkel
w0803,nl,giertank
w0804,be,grasplein
w0805,nl,bamibal
w0806,be,aanvijzen
w0807,nl,tappunt
w0808,nl,visakte
w0809,be,rozelaar
w0810,nl,inpandig
w0811,nl,mauwen
w0812,be,merkelijk
w0813,nl,grutto
w0814,be,dixit
w0815,nl,pilsener
w0816,nl,chantabel
w0817,nl,audicien
w0818,nl,opgaaf
w0819,nl,feut
w0820,be,ligament
w0821,nl,bloterik
w0822,be,opvordering
w0823,be,toezichter
w0824,nl,kaalslag
w0825,be,kazakkendraaier
w0826,be,dokteres
w0827,be,laureaat
w0828,nl,plaggen
w0829,nl,roti
w0830,nl,horkerig
w0831,nl,sikkeneurig
w0832,be,brugdag
w0833,nl,hupsen
w0834,be,stielman
w0835,be,afluizen
w0836,nl,gepriegel
w0837,be,zonneklopper
w0838,be,externaat
w0839,nl,piespot
w0840,nl,dombo
w0841,be,postogram
w0842,nl,slijmjurk
w0843,nl,darter
w0844,be,metsen
w0845,be,verkorven
w0846,be,zwemdok
w0847,be,rockrally
w0848,nl,gajes
w0849,be,taalbad
w0850,be,afpitsen
w0851,be,gamel
w0852,nl,veralgemeniseren
w0853,be,snok
w0854,nl,baspartij
w0855,be,degoutant
w0856,be,klaarte
w0857,be,vzw
w0858,be,ongesofisticeerd
w0859,be,floraliën
w0860,be,flamingant
w0861,nl,flappentap
w0862,nl,koefnoen
w0863,be,blokbeest
w0864,nl,kenau
w0865,be,hoederecht
w0866,nl,exercitie
w0867,nl,royement
w0868,be,frietpot
w0869,be,zwin
w0870,nl,moorkop
w0871,be,syndicus
w0872,nl,shaggie
w0873,be,pallieter
w0874,nl,piesen
w0875,be,hervallen
w0876,nl,punniken
w0877,nl,tabee
w0878,nl,pilotfase
w0879,nl,uithof
w0880,be,basketten
w0881,be,stuiken
w0882,be,valoriseren
w0883,nl,po
w0884,be,gedaver
w0885,be,smos
w0886,be,opplooien
w0887,be,maniok
w0888,nl,custard
w0889,be,bricoleren
w0890,be,inkomhal
w0891,be,bottine
w0892,nl,toerusten
w0893,nl,mitella
w0894,nl,rumboon
w0895,nl,wetering
w0896,be,sedentair
w0897,be,wijsheidstand
w0898,be,apenjaren
w0899,nl,wadlopen
w0900,be,bobijn
w0901,nl,latertje
w0902,nl,hbo
w0903,be,hoofding
w0904,be,tegensteken
w0905,be,deontologisch
w0906,nl,haastklus
w0907,be,gelijkaardig
w0908,be,halvelings
w0909,be,antipathiek
w0910,nl,tapperij
w0911,be,balkleed
w0912,nl,sjoel
w0913,nl,minkukel
w0914,be,pijpajuin
w0915,nl,uitventen
w0916,nl,stennis
w0917,be,degusteren
w0918,nl,tussenuur
w0919,nl,miepen
w0920,nl,bietsen
w0921,nl,trimbaan
w0922,nl,chemobak
w0923,nl,vwo
w0924,be,artisanaal
w0925,be,broekventje
w0926,nl,fust
w0927,nl,beunen
w0928,be,webstek
w0929,nl,cheffin
w0930,nl,abseilen
w0931,nl,manco
w0932,be,belfort
w0933,be,inkom
w0934,nl,gierput
w0935,nl,opoe
w0936,be,druivelaar
w0937,nl,klunen
w0938,be,communautair
w0939,be,bobijnen
w0940,nl,mamma
w0941,be,selder
w0942,be,nieuwkuis
w0943,be,frigo
w0944,nl,korenwolf
w0945,be,pilaarbijter
w0946,be,inkomgeld
w0947,nl,steggelen
w0948,be,debiet
w0949,be,kroezelhaar
w0950,nl,heitje
w0951,be,ambetant
w0952,be,kemel
w0953,nl,wildbraad
w0954,nl,noga
w0955,be,notelaar
w0956,nl,bulletje
w0957,nl,apenrots
w0958,be,treffelijk
w0959,be,debardeur
w0960,nl,tranentrekker
w0961,be,monitrice
w0962,be,bunsenbrander
w0963,be,owngoal
w0964,nl,kopschuw
w0965,nl,ruste
w0966,nl,ginnegappen
w0967,nl,codicil
w0968,nl,weckpot
w0969,be,turnkring
w0970,be,spionkop
w0971,be,kwatong
w0972,nl,aftaaien
w0973,be,savooikool
w0974,nl,sodeju
w0975,nl,mentrix
w0976,nl,atjar
w0977,nl,verliggen
w0978,nl,puzzelrit
w0979,be,hypothekeren
w0980,nl,onbalans
w0981,be,kassierster
w0982,nl,lombok
w0983,be,vol-au-vent
w0984,be,kwijtschrift
w0985,be,vorklift
w0986,nl,glom
w0987,nl,moetje
w0988,be,primordiaal
w0989,nl,gauwigheid
w0990,be,werfreserve
w0991,nl,meuren
w0992,nl,taxateur
w0993,nl,gierton
w0994,nl,ratjetoe
w0995,nl,zwaktebod
w0996,nl,neppen
w0997,be,barema
w0998,nl,schuifpui
w0999,be,eindmeet
w1000,nl,pleerol
w1001,be,dikoor
w1002,nl,joh
w1003,nl,fröbelen
w1004,be,catalogeren
w1005,be,bosklas
w1006,be,tateren
w1007,be,konijnenpijp
w1008,nl,doerak
w1009,nl,toepen
w1010,nl,bolus
w1011,be,autostrade
w1012,nl,zieligjes
w1013,nl,mavo
w1014,be,gepalaver
w1015,be,geldbeugel
w1016,be,looksaus
w1017,be,keitof
w1018,nl,uppie
w1019,be,mismeesteren
w1020,be,polyglot
w1021,nl,kukelen
w1022,nl,banjeren
w1023,be,categoriek
w1024,nl,priegelig
w1025,nl,afhechten
w1026,be,resem
w1027,nl,dreutelen
w1028,be,kipkap
w1029,nl,aju
w1030,nl,beuren
w1031,be,inhoudstafel
w1032,nl,tijgeren
w1033,nl,clinic
w1034,be,flandrien
w1035,be,gedoteerd
w1036,nl,raggen
w1037,be,lekstok
w1038,be,taxidermie
w1039,be,snotvalling
w1040,be,pletwals
w1041,be,depanneren
w1042,nl,dependance
w1043,be,trimestrieel
w1044,nl,dubbelop
w1045,nl,traproede
w1046,be,aanwerver
w1047,nl,kruizen
w1048,be,generisch
w1049,be,assisen
w1050,be,depannage
w1051,be,vlakaf
w1052,nl,porem
w1053,nl,wybertje
w1054,be,rijven
w1055,nl,cassave
w1056,nl,pies
w1057,nl,goedig
w1058,be,herwerkt
w1059,nl,smiecht
w1060,nl,domtoren
w1061,be,eczema
w1062,be,heirbaan
w1063,nl,botter
w1064,be,loonkost
w1065,be,valabel
w1066,be,gesakker
w1067,be,labojas
w1068,be,zottin
w1069,be,labo
w1070,nl,vermissing
w1071,be,smossen
w1072,nl,gup
w1073,nl,sores
w1074,nl,bietser
w1075,nl,likmevestje
w1076,nl,taugé
w1077,nl,vurenhout
w1078,be,vijzen
w1079,be,buitenwipper
w1080,nl,nederwiet
w1081,nl,ketjap
