variety,word,decision,register,gloss,gloss_source,note,decided_by,decided_at
be,capteren,keep,,"opvangen, ontvangen (signaal); winnen (water)",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,cassonade,keep,,bruine basterdsuiker,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,catalogeren,keep,,catalogiseren; ook: iemand bestempelen,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,cataract,keep,,staar (oogziekte),claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,categoriek,keep,,"categorisch, beslist",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,centiem,keep,,cent,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,cervela,keep,,cervelaatworst,claude-opus-5 (chosen by author),,author,2026-09-21T17:53:29+00:00
be,champetter,keep,,veldwachter,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,chapelure,keep,,paneermeel,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,charcuterie,keep,,vleeswaren,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,chauffage,keep,,verwarming,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,classeur,keep,,ordner,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,collocatie,keep,standard,gedwongen opname in een psychiatrische instelling,claude-opus-5 (accepted by author),,author,2026-09-21T17:37:45+00:00
be,colère,keep,,woedeaanval,claude-opus-5 (accepted by author),,author,2026-09-21T17:39:03+00:00
be,communautair,keep,,betreffende de gemeenschappen (Vlaams-Franstalig),claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,concurrentieel,keep,,concurrerend,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,consacreren,keep,,"wijden, (tijd) besteden aan",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,constatatie,keep,standard,vaststelling,claude-opus-5 (accepted by author),,author,2026-09-21T17:36:12+00:00
be,contesteren,keep,,"betwisten, aanvechten",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,convenabel,keep,,"fatsoenlijk, behoorlijk",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,crapuul,keep,,"gespuis, tuig",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,cuisson,keep,,"bakwijze van vlees (saignant, à point)",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,cutter,keep,standard,"breekmes, stanleymes",claude-opus-5 (accepted by author),,author,2026-09-21T17:36:11+00:00
be,cyclocross,keep,,veldrijden,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,daarjuist,keep,standard,"zojuist, net",claude-opus-5 (accepted by author),,author,2026-09-21T17:36:06+00:00
be,daarrond,keep,,daaromheen; ook: daarover,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,dagdagelijks,keep,,"dagelijks, alledaags",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,datief,keep,,derde naamval,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,daver,keep,,schrik (de daver op het lijf),claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,debardeur,keep,,"mouwloze trui, spencer",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,debiet,keep,,"afzet, omzet; ook: stroomsnelheid",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,degoutant,keep,,walgelijk,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,degustatie,keep,,proeverij,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,degusteren,keep,,proeven,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,dekenij,keep,,decanaat,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,denkpiste,keep,,"denkrichting, mogelijkheid",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,deontologie,keep,,beroepsethiek,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,deontologisch,keep,standard,beroepsethisch,claude-opus-5 (accepted by author),,author,2026-09-21T17:37:44+00:00
be,depannage,keep,,"pechverhelping, takeldienst",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,depanneren,keep,,pech verhelpen; iemand uit de nood helpen,claude-opus-5 (accepted by author),,author,2026-09-21T17:38:12+00:00
be,desgevallend,keep,,in voorkomend geval,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,dewelke,keep,,"die, welke (betrekkelijk voornaamwoord)",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,dieperik,keep,,"diepe put, dieptepunt",claude-opus-5 (accepted by author),,author,2026-09-21T17:38:45+00:00
be,dikkenek,keep,,"opschepper, blaaskaak",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,dikoor,keep,,"niet willen horen, koppig zijn, stijfkop",author,,author,2026-09-21T17:54:00+00:00
be,dissectie,keep,,ontleding (anatomie),claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,dixit,keep,,"aldus, zei (iemand)",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,dodentol,keep,,aantal doden,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,doenbaar,keep,,"haalbaar, doenlijk",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,dokteres,keep,,vrouwelijke arts,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,domiciliëring,keep,,automatische incasso,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,domotica,keep,,huisautomatisering,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,doodbraaf,keep,,zeer braaf,claude-opus-5 (accepted by author),,author,2026-09-21T17:38:29+00:00
be,doodgraag,keep,,heel graag,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,dopgeld,keep,,werkloosheidsuitkering,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,dotatie,keep,,toelage (vaak aan het koningshuis),claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,doteren,keep,,"een toelage toekennen, subsidiëren",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,draagberrie,keep,,"draagbaar, brancard",claude-opus-5 (accepted by author),,author,2026-09-21T17:38:40+00:00
be,droedel,keep,,krabbeltekening,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,droogkuis,keep,,stomerij,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,druivelaar,keep,,"wijnstok, druivenplant",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,duts,keep,,"sukkel, sul",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,eczema,keep,,eczeem,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,eenzaat,keep,,"kluizenaar, eenzelvig persoon",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,eindmeet,keep,standard,"finish, eindstreep",claude-opus-5 (accepted by author),,author,2026-09-21T17:37:48+00:00
be,etalagist,keep,,etaleur,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,evoqueren,keep,,"oproepen, aanhalen",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,expresweg,keep,,autoweg,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,externaat,keep,,dagschool (geen internaat),claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,facteur,keep,,postbode,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,faling,keep,,faillissement,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,farde,keep,,"map, ordner",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,fermette,keep,,landelijk huis in boerderijstijl,claude-opus-5 (accepted by author),,author,2026-09-21T17:38:33+00:00
be,flamingant,keep,,Vlaamsgezinde,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,flan,keep,,"pudding, vla",claude-opus-5 (chosen by author),,author,2026-09-21T17:54:04+00:00
be,flandrien,keep,,"harde renner, klassiekerspecialist",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,floraliën,keep,,bloemententoonstelling,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,fluo,keep,standard,fluorescerend (kleur),claude-opus-5 (accepted by author),,author,2026-09-21T17:36:14+00:00
be,foefelen,keep,,"sjoemelen, knoeien",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,foert,keep,,"bah, stik (uitroep)",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,foor,keep,,kermis,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,frangipane,keep,,amandelgebakje,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,frietchinees,keep,,frituur uitgebaat door Chinezen,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,frietketel,keep,standard,friteuse,claude-opus-5 (accepted by author),,author,2026-09-21T17:35:56+00:00
be,frietpot,keep,,friteuse,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,frigo,keep,,koelkast,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,frigobox,keep,,koelbox,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,frisco,keep,,"waterijsje, ijslolly",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,funerarium,keep,,rouwcentrum,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,fusioneren,keep,,fuseren,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,gamel,keep,,eetketeltje (van soldaten),claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,garagist,keep,,garagehouder,claude-opus-5 (accepted by author),,author,2026-09-21T17:38:54+00:00
be,geblutst,keep,,gedeukt,claude-opus-5 (accepted by author),,author,2026-09-21T17:38:26+00:00
be,gebuisd,keep,,gezakt (voor een examen),claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,gebuur,keep,,buur,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,gedaver,keep,,"gedreun, lawaai",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,gedegouteerd,keep,,"vol afkeer, walgend",claude-opus-5 (accepted by author),,author,2026-09-21T17:38:35+00:00
be,gedoteerd,keep,standard,met een prijs of toelage verbonden,claude-opus-5 (accepted by author),,author,2026-09-21T17:36:07+00:00
be,gegeerd,keep,,"gewild, in trek",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,geldbeugel,keep,,portemonnee,claude-opus-5 (accepted by author),,author,2026-09-21T17:38:27+00:00
be,gelijkaardig,keep,,soortgelijk,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,gelukzak,keep,,geluksvogel,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,generisch,keep,,generiek (bv. generisch geneesmiddel),claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,genitief,keep,,tweede naamval,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,gepalaver,keep,,"gepraat, geleuter",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,gesakker,keep,standard,"gevloek, gemopper",claude-opus-5 (accepted by author),,author,2026-09-21T17:35:35+00:00
be,gocart,keep,standard,skelter,claude-opus-5 (accepted by author),,author,2026-09-21T17:33:34+00:00
be,grasplein,keep,,"grasveld, gazon",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,grootbank,keep,standard,grote bank (financiële instelling),claude-opus-5 (accepted by author),,author,2026-09-21T17:34:51+00:00
be,grootstad,keep,standard,grote stad,claude-opus-5 (accepted by author),,author,2026-09-21T17:34:49+00:00
be,halvelings,keep,,"half, gedeeltelijk",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,heenmatch,keep,,heenwedstrijd,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,heenronde,keep,,heenronde (eerste helft van een competitie),claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,heirbaan,keep,,"oude heerbaan, Romeinse weg",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,herdoen,keep,,overdoen,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,hervallen,keep,standard,"terugvallen, recidiveren",claude-opus-5 (accepted by author),,author,2026-09-21T17:33:48+00:00
be,herwerken,keep,,"omwerken, herschrijven",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,herwerkt,keep,,"omgewerkt, bewerkt",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,hinterland,keep,,achterland,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,hoederecht,keep,,"voogdij, recht om voor een kind te zorgen",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,holebi,keep,,"homo, lesbisch of biseksueel",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,homejacking,keep,,woninginbraak om autosleutels te stelen,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,homilie,keep,,preek,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,homologatie,keep,,"officiële goedkeuring, bekrachtiging",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,hondenstiel,keep,,rotbaan,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,hoofdbrok,keep,,"belangrijkste deel, hoofdmoot",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,hoofding,keep,,"kop, briefhoofd, titel",claude-opus-5 (accepted by author),,author,2026-09-21T17:38:47+00:00
be,hoofdvogel,keep,,de hoofdvogel afschieten: een grote blunder begaan; de hoofdprijs; de belangrijkste buit,author,,author,2026-09-21T17:54:38+00:00
be,hoogdag,keep,,feestdag,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,humaniora,keep,,algemeen secundair onderwijs,claude-opus-5 (accepted by author),,author,2026-09-21T17:38:24+00:00
be,hutsepot,keep,,stoofpot met groenten en vlees,claude-opus-5 (chosen by author),,author,2026-09-21T17:54:41+00:00
be,hypothekeren,keep,,in gevaar brengen; ook: met een hypotheek bezwaren,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,immobiliën,keep,,"onroerend goed, vastgoed",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,induffelen,keep,standard,"warm inpakken, dik aankleden",claude-opus-5 (accepted by author),,author,2026-09-21T17:34:57+00:00
be,inhoudstafel,keep,,inhoudsopgave,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,inkom,keep,,"ingang, hal",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,inkomgeld,keep,,toegangsprijs,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,inkomhal,keep,,"hal, entree",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,inoefenen,keep,,instuderen,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,inox,keep,,roestvrij staal,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,intensifiëren,keep,,intensiveren,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,intrest,keep,,rente,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,inwijkeling,keep,,"immigrant, nieuwkomer",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,inwijken,keep,,immigreren,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,inwijking,keep,,immigratie,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,janet,keep,,"homo (pejoratief), verwijfde man",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,javel,keep,,bleekwater,claude-opus-5 (accepted by author),,author,2026-09-21T17:38:10+00:00
be,jeton,keep,,"fiche, penning",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,kaaksbeen,keep,,kaakbeen,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,kadee,keep,,"kerel, gast",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,kaka,keep,,poep (kindertaal),claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,kasbon,keep,,spaarbon van een bank,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,kassierster,keep,,caissière,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,kastaar,keep,,flinke kerel; deugniet,gemini (chosen by author),,author,2026-09-21T17:54:49+00:00
be,kazak,keep,,"jas, wambuis (van kazak draaien)",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,kazakdraaier,keep,,"overloper, opportunist",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,kazakkendraaier,keep,,"overloper, opportunist",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,keikop,keep,,stijfkop,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,keitof,keep,,"fantastisch, supergoed",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,kemel,keep,,kameel; ook: flater,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,kepie,keep,,"uniformpet, kepie",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,kerkfabriek,keep,standard,kerkbestuur (beheer van kerkgoederen),claude-opus-5 (accepted by author),,author,2026-09-21T17:35:34+00:00
be,kerselaar,keep,,kersenboom,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,kine,keep,,fysiotherapie; fysiotherapeut,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,kinesist,keep,,fysiotherapeut,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,kinesitherapie,keep,,fysiotherapie,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,kipkap,keep,,hoofdkaas (vleeswaar in gelei),claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,klaarte,keep,,"helderheid, licht",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,klankman,keep,,geluidstechnicus,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,klasbak,keep,,"uitblinker, topper",claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,klierkoorts,keep,,ziekte van Pfeiffer,claude-opus-5,,bulk,2026-09-21T17:42:37+00:00
be,klissen,keep,,"betrappen, te pakken krijgen",claude-opus-5 (chosen by author),,author,2026-09-21T17:54:54+00:00
