w0401|hoofdprijs; belangrijkste buit
w0521|tussenwoning; rijtjeshuis
w0522|make-up; opmaak
w0523|koppig persoon; stijfkop
w0524|gymschoen; gymp
w0525|zwachtel; windsel
w0526|ammoniakzout; dropgrondstof
w0527|kletsen; verstrengeld raken
w0528|verborgen; heimelijk
w0529|kruidenier
w0530|podia voor popmuziek
w0531|diefstal; plagiaat
w0532|ambulancebroeder; ziekenvervoerder
w0533|poep; uitwerpselen
w0534|broekzak op de achterkant
w0535|uitval van lessen
w0536|zeer hevige regenbui
w0537|luidruchtig; veel lawaai makend
w0538|preek; stichtelijke toespraak
w0539|universitair diploma
w0540|spijbelaar
w0541|uithoudingsvermogen om lang te zitten
w0542|staar; grauwe staar
w0543|café langs een doorgaande weg
w0544|avondschemering; schemering
w0545|moedertaal
w0546|enigszins vies
w0547|fiets
w0548|vrouwelijk middelbaar scholier
w0549|opscheppen; pochen
w0550|eenling; solitair persoon
w0551|kleinigheid; beuzelarij
w0552|noodlottig; fnuikend
w0553|het erg koud hebben
w0554|kennismaken voor een studentenkamer
w0555|gemachtigde; verkozene
w0556|gierwagen; mestkar
w0557|belangrijk persoon; hoge ome
w0558|rente
w0559|klemmen om dieren te vangen
w0560|recht van overpad
w0561|koninginnenhapje; pasteitje
w0562|lomperik; lomp persoon
w0563|smijten; gooien
w0564|aan de onderzijde; onderaan
w0565|hardloopbaan; atletiekbaan
w0566|pleisterwerk; bepleistering
w0567|onhandig persoon; knutselaar
w0568|krentenbrood; rozijnenbrood
w0569|hard zwoegen; zich uitsloven
w0570|houvast; standvastig persoon
w0571|jengelen; zeuren
w0572|bemoeial
w0573|ontevreden; mishaagd
w0574|circulaire; mededeling
w0575|vuurtje
w0576|wildebras; doordrijver
w0577|Belgische politiek; regering
w0578|stortplaats voor afval
w0579|zwalken; zwerven
w0580|gericht op eenheidsstaat
w0581|bemoeien
w0582|blijken; er zo uitzien
w0583|elektrisch gehandicaptenvoertuig
w0584|houten spoorbielzen
w0585|reputatie; goede naam
w0586|veertoestel op speelplaats
w0587|werkloos; zonder arbeid
w0588|toetje met vla en yoghurt
w0589|examen doen voor zwemdiploma
w0590|kniesoor; zeurpiet
w0591|waterpokken
w0592|met gelijke vertegenwoordiging
w0593|muggennet
w0594|gehuil; luid geschreeuw
w0595|lente-ui; bosuitje
w0596|aanvechten; betwisten
w0597|scheten laten
w0598|onroerend goed; vastgoed
w0599|gestoofd vleesgerecht
w0600|lomperik; onbeleefd persoon
