w0201|gekkig; maffia; gek; fantastisch
w0293|iets verkeerds of kwaads doen
w0294|hof van assisen
w0295|verhuurder van studentenkamers
w0296|alert; waakzaam
w0297|vetachtig; als smout
w0298|stamppot van wortels en uien
w0299|fictief geldstramien; biljet
w0300|gedeukt
w0301|weer; opnieuw
w0302|kopje koffie
w0303|gastouder; kinderopvangster
w0304|schotwond
w0305|hagel van fijne korrels
w0306|stiekem eten of snoepen
w0307|gefrituurde snackbar-snack
w0308|kletsmeid; zeurderig mens
w0309|priegelig werken; knutselen
w0310|uitroep van afkeer
w0311|eerste helft van de competitie
w0312|taallaboratorium
w0313|schouwarts; gerechtelijk geneesheer
w0314|kleine supermarkt
w0315|kunstmatige woonheuvel
w0316|belangrijkste deel
w0317|omvallen; omkieperen
w0318|ontkenning
w0319|vleien; hielenlikken
w0320|sociëteit
w0321|denkrichting; hypothese
w0322|zweren; gezwel vormen
w0323|uitroep van vreugde
w0324|daaromheen; over dat onderwerp
w0325|lomp; boers; onbehouwen
w0326|stokerig; opstandig
w0327|mager; dun; ijl
w0328|diarree
w0329|vloerbedekking van linoleum
w0330|groenteteeltbedrijf
w0331|hospita van een studentenhuis
w0332|bibliotheek
w0333|gezeur; gemier
w0334|spit; lage rugpijn
w0335|honderdste deel van een frank
w0336|vanaf
w0337|vergoeding voor een vergadering
w0338|laat; te laat
w0339|stomen; kleding stomen
w0340|bederven; verprutsen
w0341|flinke kerel; deugniet
w0342|uitbater van een Chinees frituur
w0343|walgend; ontgoocheld
w0344|rukken; hard trekken
w0345|betrekking hebbend op paarden
w0346|basstuba
w0347|iemand die verstand mist van computers
w0348|presterend; efficiënt
w0349|wansmakelijk; stuitend
w0350|zittenblijver
w0351|immigreren; zich vestigen
w0352|dumpwinkel; legerdump
w0353|prutswerk; nutteloos knutselen
w0354|dichtsmelten; vacuüm verpakken
w0355|witlof
w0356|evenemententerrein in Den Haag
w0357|gastouder
w0358|recreatieve hardloopwedstrijd
w0359|bult op de huid; netelroos
w0360|prostitutie bedrijven
w0361|snijkoek; ontbijtkoek
w0362|rondslenteren
w0363|nachtmens
w0364|concurrerend
w0365|groot exemplaar
w0366|constatering; waarneming
w0367|foppen; pesten; benadelen
w0368|asfalt; verharde weg
w0369|eerste studiejaar in het hbo/wo
w0370|begeerd; populair
w0371|exact vak
w0372|mahout; mahoniehout
w0373|tjap tjoy; Chinees groentegerecht
w0374|fuseren
w0375|ijsje op een stokje
w0376|schol; platvis
w0377|oppoetsen; doen glimmen
w0378|bitumen dakbedekking
w0379|overzichtelijk; behapbaar
w0380|betaalrekening
w0381|toernooi
w0382|snauwen; afbekken
w0383|desgevallend; eventueel
w0384|bevoordelen; matsen
w0385|fluorescerend
w0386|fysiotherapie
w0387|wasknijper
w0388|gezeur; geneuzel
w0389|babypakje uit één stuk
w0390|balletschoenen met harde neus
w0391|kletsen; leuteren
w0392|stoofvlees
w0393|gevoel van verbondenheid
w0394|wildernis; oerwoud
w0395|postduif
w0396|beurtrol; roostersysteem
w0397|jaloezie; nijd
w0398|kletsen; leuteren
w0399|stressvol; stresserend
w0400|yup worden; als yup leven
